iShares Russell 2000 ETF
Fund Holdings as of,"Sep 11, 2025"
Inception Date,"May 22, 2000"
Shares Outstanding,"283,300,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"UFPI","UFP INDUSTRIES INC","Industrials","Equity","153,767,321.60","0.22","153,767,321.60","1,501,634.00","102.40","United States","NASDAQ","USD","1.00","USD","-"
"GPI","GROUP AUTOMOTIVE INC","Consumer Discretionary","Equity","153,398,873.25","0.22","153,398,873.25","314,181.00","488.25","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PIPR","PIPER SANDLER COMPANIES","Financials","Equity","152,811,244.68","0.22","152,811,244.68","440,772.00","346.69","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"GATX","GATX CORP","Industrials","Equity","152,478,671.18","0.22","152,478,671.18","889,711.00","171.38","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TRNO","TERRENO REALTY REIT CORP","Real Estate","Equity","149,357,630.10","0.21","149,357,630.10","2,544,423.00","58.70","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AEIS","ADVANCED ENERGY INDUSTRIES INC","Information Technology","Equity","149,352,035.68","0.21","149,352,035.68","936,259.00","159.52","United States","NASDAQ","USD","1.00","USD","-"
"EPRT","ESSENTIAL PROPERTIES REALTY TRUST","Real Estate","Equity","148,287,705.58","0.21","148,287,705.58","4,946,221.00","29.98","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"RHP","RYMAN HOSPITALITY PROPERTIES REIT","Real Estate","Equity","147,960,464.64","0.21","147,960,464.64","1,468,736.00","100.74","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CADE","CADENCE BANK","Financials","Equity","146,800,641.72","0.21","146,800,641.72","3,931,458.00","37.34","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ROAD","CONSTRUCTION PARTNERS INC CLASS A","Industrials","Equity","145,948,966.03","0.21","145,948,966.03","1,168,433.00","124.91","United States","NASDAQ","USD","1.00","USD","-"
"FCFS","FIRSTCASH HOLDINGS INC","Financials","Equity","145,861,387.88","0.21","145,861,387.88","985,084.00","148.07","United States","NASDAQ","USD","1.00","USD","-"
"LUMN","LUMEN TECHNOLOGIES INC","Communication","Equity","144,454,002.21","0.21","144,454,002.21","23,719,869.00","6.09","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CWST","CASELLA WASTE SYSTEMS INC CLASS A","Industrials","Equity","144,221,578.05","0.21","144,221,578.05","1,555,285.00","92.73","United States","NASDAQ","USD","1.00","USD","-"
"BOOT","BOOT BARN HOLDINGS INC","Consumer Discretionary","Equity","144,184,825.02","0.21","144,184,825.02","765,231.00","188.42","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"IRTC","IRHYTHM TECHNOLOGIES INC","Health Care","Equity","143,569,824.16","0.21","143,569,824.16","793,072.00","181.03","United States","NASDAQ","USD","1.00","USD","-"
"MTH","MERITAGE CORP","Consumer Discretionary","Equity","142,419,745.02","0.20","142,419,745.02","1,756,967.00","81.06","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MOGA","MOOG INC CLASS A","Industrials","Equity","140,473,454.83","0.20","140,473,454.83","697,381.00","201.43","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
