iShares Russell 1000 ETF
Fund Holdings as of,"Sep 11, 2025"
Inception Date,"May 15, 2000"
Shares Outstanding,"122,800,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"SCHW","CHARLES SCHWAB CORP","Financials","Equity","116,865,211.54","0.26","116,865,211.54","1,244,041.00","93.94","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BA","BOEING","Industrials","Equity","116,192,558.28","0.26","116,192,558.28","528,172.00","219.99","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ANET","ARISTA NETWORKS INC","Information Technology","Equity","115,059,604.08","0.26","115,059,604.08","751,827.00","153.04","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TJX","TJX INC","Consumer Discretionary","Equity","114,846,301.68","0.26","114,846,301.68","815,496.00","140.83","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BSX","BOSTON SCIENTIFIC CORP","Health Care","Equity","112,353,103.32","0.25","112,353,103.32","1,076,798.00","104.34","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ACN","ACCENTURE PLC CLASS A","Information Technology","Equity","111,415,411.00","0.25","111,415,411.00","456,340.00","244.15","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"LOW","LOWES COMPANIES INC","Consumer Discretionary","Equity","111,325,794.00","0.25","111,325,794.00","408,685.00","272.40","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AMGN","AMGEN INC","Health Care","Equity","110,957,105.77","0.25","110,957,105.77","392,449.00","282.73","United States","NASDAQ","USD","1.00","USD","-"
"ADBE","ADOBE INC","Information Technology","Equity","108,767,602.35","0.24","108,767,602.35","310,277.00","350.55","United States","NASDAQ","USD","1.00","USD","-"
"LRCX","LAM RESEARCH CORP","Information Technology","Equity","107,763,555.76","0.24","107,763,555.76","932,372.00","115.58","United States","NASDAQ","USD","1.00","USD","-"
"NEE","NEXTERA ENERGY INC","Utilities","Equity","107,284,393.76","0.24","107,284,393.76","1,504,268.00","71.32","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"GILD","GILEAD SCIENCES INC","Health Care","Equity","107,023,126.58","0.24","107,023,126.58","908,053.00","117.86","United States","NASDAQ","USD","1.00","USD","-"
"PGR","PROGRESSIVE CORP","Financials","Equity","106,183,361.60","0.24","106,183,361.60","426,782.00","248.80","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"APH","AMPHENOL CORP CLASS A","Information Technology","Equity","105,037,068.24","0.24","105,037,068.24","879,192.00","119.47","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PFE","PFIZER INC","Health Care","Equity","102,884,725.90","0.23","102,884,725.90","4,138,565.00","24.86","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ETN","EATON PLC","Industrials","Equity","102,884,938.24","0.23","102,884,938.24","285,728.00","360.08","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"COF","CAPITAL ONE FINANCIAL CORP","Financials","Equity","102,833,290.35","0.23","102,833,290.35","458,361.00","224.35","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"HON","HONEYWELL INTERNATIONAL INC","Industrials","Equity","101,051,011.68","0.23","101,051,011.68","469,328.00","215.31","United States","NASDAQ","USD","1.00","USD","-"
"AMAT","APPLIED MATERIAL INC","Information Technology","Equity","100,731,692.55","0.23","100,731,692.55","592,017.00","170.15","United States","NASDAQ","USD","1.00","USD","-"
"APP","APPLOVIN CORP CLASS A","Information Technology","Equity","99,445,646.46","0.22","99,445,646.46","174,066.00","571.31","United States","NASDAQ","USD","1.00","USD","-"
"BX","BLACKSTONE INC","Financials","Equity","98,197,278.96","0.22","98,197,278.96","533,913.00","183.92","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SYK","STRYKER CORP","Health Care","Equity","97,584,734.84","0.22","97,584,734.84","250,996.00","388.79","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PANW","PALO ALTO NETWORKS INC","Information Technology","Equity","95,046,479.22","0.21","95,046,479.22","479,234.00","198.33","United States","NASDAQ","USD","1.00","USD","-"
